id_sessao,data_sessao,dia_semana,hora_inicio,periodo_dia,tipo_local,perfil_usuario,categoria_veiculo,capacidade_bateria_kwh,bateria_inicial_pct,bateria_final_pct,variacao_bateria_pct,energia_consumida_kwh,potencia_media_kw,duracao_recarga_min,ocupacao_local_pct,fila_espera_min,tarifa_kwh_brl,custo_energia_brl,taxa_servico_brl,custo_total_brl
S040,2026-02-24,terca,5,madrugada,supermercado,funcionario,suv_eletrico,79.82,28.97,76.4,47.43,37.86,28.83,79,28.72,2,1.95,73.83,4.0,77.83
S041,2026-03-02,segunda,21,noite,eletroposto_comercial,mensalista,van_eletrica,101.42,52.43,98.53,46.1,46.75,40.5,69,68.97,8,2.85,133.24,7.0,140.24
S042,2026-03-10,terca,15,tarde,shopping,funcionario,compacto_eletrico,38.04,44.74,99.17,54.43,20.71,25.04,50,77.58,30,2.5,51.78,6.0,57.78
S043,2026-02-27,sexta,2,madrugada,centro_empresarial,motorista_app,suv_eletrico,98.08,16.87,75.23,58.36,57.24,40.42,85,19.84,0,2.15,123.07,5.5,128.57
S044,2026-02-10,terca,18,noite,eletroposto_comercial,motorista_app,utilitario_eletrico,68.87,39.5,63.3,23.8,16.39,36.17,27,52.71,15,2.85,46.71,7.0,53.71
S045,2026-01-12,segunda,13,tarde,shopping,mensalista,suv_eletrico,85.68,48.2,100.0,51.8,44.38,33.32,80,76.98,24,2.5,110.95,6.0,116.95
S046,2026-01-13,terca,22,noite,eletroposto_comercial,visitante,van_eletrica,83.51,42.89,79.63,36.74,30.68,39.81,46,75.21,17,2.85,87.44,7.0,94.44
S047,2026-03-07,sabado,8,manha,centro_empresarial,frotista,utilitario_eletrico,69.47,28.21,60.79,32.58,22.63,25.63,53,40.91,4,2.35,53.18,5.5,58.68
S048,2026-01-08,quinta,22,noite,estacionamento,mensalista,van_eletrica,109.19,37.65,95.1,57.45,62.73,39.95,94,71.57,9,2.4,150.55,5.0,155.55
S049,2026-01-13,terca,9,manha,centro_empresarial,frotista,compacto_eletrico,49.27,15.92,69.94,54.02,26.62,36.65,44,39.88,4,2.35,62.56,5.5,68.06
S050,2026-02-13,sexta,14,tarde,shopping,motorista_app,suv_eletrico,83.63,51.27,83.08,31.81,26.6,32.55,49,70.69,5,2.5,66.5,6.0,72.5
S051,2026-01-02,sexta,7,manha,estacionamento,frotista,van_eletrica,84.42,59.85,100.0,40.15,33.89,28.53,71,58.48,13,2.25,76.25,5.0,81.25
S052,2026-01-04,domingo,2,madrugada,centro_empresarial,frotista,compacto_eletrico,44.75,14.52,70.4,55.88,25.01,22.67,66,11.02,3,2.15,53.77,5.5,59.27
S053,2026-02-10,terca,3,madrugada,eletroposto_comercial,motorista_app,utilitario_eletrico,91.87,42.81,64.26,21.45,19.71,22.12,53,1.29,1,2.5,49.28,7.0,56.28
S054,2026-03-15,domingo,14,tarde,eletroposto_comercial,frotista,utilitario_eletrico,89.73,12.86,64.9,52.04,46.7,43.34,65,70.88,7,2.8,130.76,7.0,137.76
S055,2026-03-18,quarta,16,tarde,eletroposto_comercial,frotista,suv_eletrico,76.05,16.25,56.43,40.18,30.56,39.14,47,65.2,5,2.8,85.57,7.0,92.57
S056,2026-01-08,quinta,20,noite,estacionamento,visitante,utilitario_eletrico,66.76,23.54,71.94,48.4,32.31,44.54,44,77.52,30,2.4,77.54,5.0,82.54
S057,2026-02-15,domingo,1,madrugada,shopping,motorista_app,compacto_eletrico,48.26,45.48,72.41,26.93,13.0,24.11,32,17.59,0,2.2,28.6,6.0,34.6
S058,2026-02-03,terca,23,noite,estacionamento,mensalista,suv_eletrico,89.09,38.62,64.43,25.81,22.99,43.76,32,63.56,13,2.4,55.18,5.0,60.18
S059,2026-02-07,sabado,13,tarde,estacionamento,motorista_app,sedan_eletrico,73.51,17.42,57.75,40.33,29.65,31.29,57,63.97,12,2.35,69.68,5.0,74.68
S060,2026-01-12,segunda,2,madrugada,eletroposto_comercial,visitante,utilitario_eletrico,70.66,31.4,75.84,44.44,31.4,36.6,51,10.3,1,2.5,78.5,7.0,85.5
S061,2026-01-14,quarta,9,manha,eletroposto_comercial,funcionario,utilitario_eletrico,71.1,11.8,48.54,36.74,26.12,32.91,48,29.02,3,2.7,70.52,7.0,77.52
S062,2026-01-09,sexta,13,tarde,supermercado,mensalista,suv_eletrico,89.44,42.62,75.27,32.65,29.2,40.11,44,66.97,12,2.25,65.7,4.0,69.7
S063,2026-01-18,domingo,10,manha,estacionamento,motorista_app,suv_eletrico,85.38,46.84,100.0,53.16,45.39,43.18,63,45.15,2,2.25,102.13,5.0,107.13
S064,2026-03-08,domingo,12,tarde,supermercado,motorista_app,sedan_eletrico,70.93,34.71,59.34,24.63,17.47,23.66,44,78.68,21,2.25,39.31,4.0,43.31
S065,2026-03-15,domingo,1,madrugada,shopping,funcionario,suv_eletrico,75.19,25.69,75.4,49.71,37.38,22.34,100,33.68,2,2.2,82.24,6.0,88.24
S066,2026-03-05,quinta,20,noite,estacionamento,funcionario,van_eletrica,104.03,15.98,50.58,34.6,35.99,44.04,49,94.8,18,2.4,86.38,5.0,91.38
S067,2026-02-10,terca,18,noite,estacionamento,funcionario,van_eletrica,108.22,29.39,75.03,45.64,49.39,22.25,133,59.41,12,2.4,118.54,5.0,123.54
S068,2026-03-10,terca,12,tarde,estacionamento,visitante,van_eletrica,113.45,59.46,100.0,40.54,45.99,41.3,67,84.61,18,2.35,108.08,5.0,113.08
S069,2026-02-28,sabado,3,madrugada,estacionamento,mensalista,utilitario_eletrico,62.8,47.77,85.12,37.35,23.46,32.79,43,8.77,2,2.05,48.09,5.0,53.09
S070,2026-01-28,quarta,4,madrugada,supermercado,frotista,utilitario_eletrico,68.15,24.6,64.21,39.61,26.99,35.49,46,17.33,0,1.95,52.63,4.0,56.63
S071,2026-01-02,sexta,2,madrugada,supermercado,funcionario,utilitario_eletrico,82.32,42.46,89.27,46.81,38.53,39.55,58,6.45,5,1.95,75.13,4.0,79.13
S072,2026-03-07,sabado,8,manha,centro_empresarial,mensalista,utilitario_eletrico,89.56,34.13,84.88,50.75,45.45,41.6,66,55.19,8,2.35,106.81,5.5,112.31
S073,2026-02-08,domingo,21,noite,supermercado,mensalista,compacto_eletrico,40.11,34.94,76.2,41.26,16.55,24.41,41,67.93,14,2.3,38.06,4.0,42.06
S074,2026-03-31,terca,22,noite,centro_empresarial,motorista_app,sedan_eletrico,58.47,19.58,40.57,20.99,12.27,43.33,17,70.17,6,2.5,30.67,5.5,36.17
S075,2026-02-07,sabado,7,manha,shopping,mensalista,suv_eletrico,78.34,45.15,90.5,45.35,35.53,44.58,48,57.81,5,2.4,85.27,6.0,91.27
S076,2026-03-21,sabado,11,manha,eletroposto_comercial,motorista_app,van_eletrica,108.83,58.16,100.0,41.84,45.53,41.94,65,24.56,5,2.7,122.93,7.0,129.93
S077,2026-02-15,domingo,17,tarde,eletroposto_comercial,mensalista,van_eletrica,106.16,58.49,100.0,41.51,44.07,28.63,92,69.35,11,2.8,123.4,7.0,130.4
S078,2026-03-29,domingo,17,tarde,centro_empresarial,funcionario,compacto_eletrico,35.61,48.87,88.46,39.59,14.1,44.67,19,73.6,6,2.45,34.55,5.5,40.05
S079,2026-01-30,sexta,23,noite,supermercado,mensalista,compacto_eletrico,36.27,37.77,89.85,52.08,18.89,43.27,26,87.02,31,2.3,43.45,4.0,47.45
S080,2026-01-22,quinta,0,madrugada,shopping,funcionario,utilitario_eletrico,63.82,43.77,92.3,48.53,30.97,39.8,47,34.64,0,2.2,68.13,6.0,74.13
S081,2026-03-08,domingo,17,tarde,supermercado,frotista,sedan_eletrico,55.86,41.09,95.42,54.33,30.35,22.1,82,65.59,5,2.25,68.29,4.0,72.29
S082,2026-01-24,sabado,16,tarde,estacionamento,visitante,van_eletrica,115.83,43.58,73.09,29.51,34.18,41.61,49,58.92,9,2.35,80.32,5.0,85.32
S083,2026-03-12,quinta,20,noite,eletroposto_comercial,funcionario,van_eletrica,95.88,23.74,79.2,55.46,53.18,26.31,121,48.82,3,2.85,151.56,7.0,158.56
S084,2026-03-02,segunda,8,manha,estacionamento,motorista_app,suv_eletrico,99.96,24.82,61.14,36.32,36.31,25.15,87,47.99,4,2.25,81.7,5.0,86.7
S085,2026-01-17,sabado,23,noite,eletroposto_comercial,motorista_app,van_eletrica,95.69,55.76,95.64,39.88,38.16,25.09,91,61.44,11,2.85,108.76,7.0,115.76
S086,2026-01-08,quinta,1,madrugada,supermercado,funcionario,suv_eletrico,83.6,41.73,75.46,33.73,28.2,31.67,53,28.98,0,1.95,54.99,4.0,58.99
S087,2026-03-28,sabado,18,noite,estacionamento,mensalista,utilitario_eletrico,91.39,21.75,54.76,33.01,30.17,42.91,42,73.83,8,2.4,72.41,5.0,77.41
S088,2026-03-30,segunda,17,tarde,supermercado,mensalista,van_eletrica,91.98,22.07,54.97,32.9,30.26,25.58,71,79.97,28,2.25,68.09,4.0,72.09
S089,2026-01-01,quinta,6,manha,shopping,mensalista,sedan_eletrico,69.6,31.92,70.97,39.05,27.18,44.88,36,59.98,13,2.4,65.23,6.0,71.23
S090,2026-01-24,sabado,19,noite,centro_empresarial,frotista,sedan_eletrico,54.63,38.11,62.19,24.08,13.15,37.02,21,92.99,31,2.5,32.88,5.5,38.38
S091,2026-03-12,quinta,12,tarde,eletroposto_comercial,mensalista,compacto_eletrico,49.4,15.15,36.79,21.64,10.69,27.66,23,42.62,0,2.8,29.93,7.0,36.93
S092,2026-03-30,segunda,10,manha,supermercado,mensalista,van_eletrica,82.04,15.58,50.96,35.38,29.03,23.39,74,52.93,8,2.15,62.41,4.0,66.41
S093,2026-02-10,terca,4,madrugada,eletroposto_comercial,funcionario,suv_eletrico,82.5,10.08,34.56,24.48,20.2,41.84,29,0.03,2,2.5,50.5,7.0,57.5
S094,2026-01-10,sabado,12,tarde,supermercado,mensalista,compacto_eletrico,41.47,49.03,100.0,50.97,21.14,27.99,45,57.9,8,2.25,47.56,4.0,51.56
S095,2026-02-23,segunda,5,madrugada,eletroposto_comercial,mensalista,utilitario_eletrico,67.99,26.54,83.76,57.22,38.9,23.12,101,11.52,4,2.5,97.25,7.0,104.25
S096,2026-03-19,quinta,17,tarde,shopping,visitante,van_eletrica,85.53,55.94,76.31,20.37,17.42,26.33,40,54.25,5,2.5,43.55,6.0,49.55
S097,2026-01-14,quarta,2,madrugada,centro_empresarial,motorista_app,suv_eletrico,87.08,39.51,93.49,53.98,47.01,22.11,128,26.33,1,2.15,101.07,5.5,106.57
S098,2026-02-17,terca,14,tarde,estacionamento,visitante,utilitario_eletrico,89.94,22.71,79.46,56.75,51.04,32.45,94,69.14,13,2.35,119.94,5.0,124.94
S099,2026-03-23,segunda,23,noite,shopping,funcionario,van_eletrica,92.74,49.96,93.99,44.03,40.83,26.98,91,76.63,32,2.55,104.12,6.0,110.12
S100,2026-02-27,sexta,7,manha,eletroposto_comercial,visitante,utilitario_eletrico,72.13,10.95,37.57,26.62,19.2,38.68,30,48.32,0,2.7,51.84,7.0,58.84
S101,2026-01-28,quarta,17,tarde,eletroposto_comercial,funcionario,compacto_eletrico,43.91,16.3,42.05,25.75,11.31,37.94,18,46.92,5,2.8,31.67,7.0,38.67
S102,2026-03-13,sexta,12,tarde,shopping,frotista,sedan_eletrico,50.41,59.65,100.0,40.35,20.34,24.92,49,88.89,15,2.5,50.85,6.0,56.85
S103,2026-01-09,sexta,21,noite,estacionamento,mensalista,compacto_eletrico,39.1,12.53,56.31,43.78,17.12,28.78,36,79.86,28,2.4,41.09,5.0,46.09
S104,2026-03-29,domingo,20,noite,shopping,visitante,compacto_eletrico,38.47,53.69,83.84,30.15,11.6,36.05,19,82.91,27,2.55,29.58,6.0,35.58
S105,2026-02-17,terca,9,manha,centro_empresarial,motorista_app,suv_eletrico,87.01,47.92,100.0,52.08,45.31,31.64,86,55.58,12,2.35,106.48,5.5,111.98
S106,2026-03-26,quinta,0,madrugada,shopping,motorista_app,sedan_eletrico,60.2,14.7,70.29,55.59,33.47,31.09,65,30.06,3,2.2,73.63,6.0,79.63
S107,2026-02-12,quinta,3,madrugada,supermercado,frotista,sedan_eletrico,54.99,52.95,100.0,47.05,25.87,26.88,58,16.75,1,1.95,50.45,4.0,54.45
S108,2026-03-21,sabado,17,tarde,centro_empresarial,frotista,van_eletrica,100.68,47.09,96.34,49.25,49.58,40.01,74,77.8,22,2.45,121.47,5.5,126.97
S109,2026-02-09,segunda,2,madrugada,centro_empresarial,frotista,van_eletrica,111.92,14.99,43.17,28.18,31.54,39.1,48,5.58,5,2.15,67.81,5.5,73.31
S110,2026-01-19,segunda,23,noite,eletroposto_comercial,funcionario,utilitario_eletrico,91.06,29.73,62.5,32.77,29.84,36.0,50,71.14,12,2.85,85.04,7.0,92.04
S111,2026-02-04,quarta,9,manha,shopping,motorista_app,suv_eletrico,84.03,19.84,54.93,35.09,29.49,31.06,57,38.24,5,2.4,70.78,6.0,76.78
S112,2026-01-30,sexta,3,madrugada,supermercado,motorista_app,compacto_eletrico,49.32,22.18,46.14,23.96,11.82,39.33,18,27.03,2,1.95,23.05,4.0,27.05
S113,2026-01-31,sabado,6,manha,estacionamento,funcionario,utilitario_eletrico,78.27,33.42,63.8,30.38,23.78,23.04,62,44.26,1,2.25,53.51,5.0,58.51
S114,2026-01-09,sexta,23,noite,supermercado,motorista_app,van_eletrica,84.43,22.62,54.41,31.79,26.84,39.59,41,89.45,25,2.3,61.73,4.0,65.73
S115,2026-03-11,quarta,21,noite,shopping,frotista,van_eletrica,118.12,13.59,39.1,25.51,30.13,29.0,62,82.88,35,2.55,76.83,6.0,82.83
S116,2026-02-08,domingo,2,madrugada,eletroposto_comercial,frotista,van_eletrica,101.69,18.27,48.4,30.13,30.64,25.69,72,21.3,3,2.5,76.6,7.0,83.6
S117,2026-02-03,terca,14,tarde,estacionamento,motorista_app,van_eletrica,94.85,30.24,80.64,50.4,47.8,39.76,72,53.27,8,2.35,112.33,5.0,117.33
S118,2026-02-24,terca,22,noite,estacionamento,visitante,sedan_eletrico,52.51,23.23,77.09,53.86,28.28,26.13,65,68.61,14,2.4,67.87,5.0,72.87
S119,2026-01-06,terca,10,manha,shopping,funcionario,utilitario_eletrico,89.8,53.73,87.3,33.57,30.15,34.21,53,42.94,4,2.4,72.36,6.0,78.36
S120,2026-01-30,sexta,5,madrugada,supermercado,visitante,compacto_eletrico,48.32,48.87,89.58,40.71,19.67,33.28,35,18.24,5,1.95,38.36,4.0,42.36
S121,2026-02-05,quinta,12,tarde,eletroposto_comercial,mensalista,sedan_eletrico,53.14,57.61,96.89,39.28,20.87,43.92,29,46.54,0,2.8,58.44,7.0,65.44
S122,2026-02-03,terca,13,tarde,eletroposto_comercial,funcionario,compacto_eletrico,35.45,15.95,72.62,56.67,20.09,29.4,41,64.33,7,2.8,56.25,7.0,63.25
S123,2026-01-07,quarta,11,manha,eletroposto_comercial,mensalista,suv_eletrico,75.62,59.43,100.0,40.57,30.68,39.06,47,38.75,3,2.7,82.84,7.0,89.84
S124,2026-03-17,terca,3,madrugada,eletroposto_comercial,frotista,van_eletrica,82.0,27.12,78.9,51.78,42.46,36.32,70,18.77,2,2.5,106.15,7.0,113.15
S125,2026-02-27,sexta,19,noite,eletroposto_comercial,funcionario,sedan_eletrico,60.95,41.95,62.04,20.09,12.24,44.85,16,57.64,15,2.85,34.88,7.0,41.88
S126,2026-03-21,sabado,1,madrugada,supermercado,mensalista,van_eletrica,86.09,41.61,77.33,35.72,30.75,43.2,43,12.98,0,1.95,59.96,4.0,63.96
S127,2026-02-07,sabado,17,tarde,centro_empresarial,mensalista,sedan_eletrico,64.99,33.64,91.64,58.0,37.69,29.88,76,62.09,12,2.45,92.34,5.5,97.84
S128,2026-01-09,sexta,16,tarde,eletroposto_comercial,frotista,suv_eletrico,83.49,54.62,100.0,45.38,37.89,44.81,51,61.26,5,2.8,106.09,7.0,113.09
S129,2026-03-09,segunda,15,tarde,shopping,funcionario,sedan_eletrico,59.16,46.93,83.06,36.13,21.37,34.92,37,81.79,34,2.5,53.43,6.0,59.43
S130,2026-02-23,segunda,12,tarde,centro_empresarial,frotista,sedan_eletrico,66.18,27.12,63.45,36.33,24.04,32.12,45,60.03,9,2.45,58.9,5.5,64.4
S131,2026-03-16,segunda,2,madrugada,supermercado,motorista_app,compacto_eletrico,44.94,10.99,44.05,33.06,14.86,26.55,34,24.45,3,1.95,28.98,4.0,32.98
S132,2026-03-26,quinta,20,noite,centro_empresarial,funcionario,utilitario_eletrico,64.53,23.76,49.31,25.55,16.49,28.52,35,80.36,29,2.5,41.22,5.5,46.72
S133,2026-03-24,terca,21,noite,centro_empresarial,funcionario,utilitario_eletrico,84.55,57.65,100.0,42.35,35.81,27.87,77,78.15,26,2.5,89.53,5.5,95.03
S134,2026-01-06,terca,7,manha,centro_empresarial,frotista,suv_eletrico,90.56,11.16,47.16,36.0,32.6,42.13,46,59.41,9,2.35,76.61,5.5,82.11
S135,2026-02-02,segunda,10,manha,shopping,frotista,utilitario_eletrico,71.28,37.23,76.82,39.59,28.22,36.54,46,46.36,5,2.4,67.73,6.0,73.73
S136,2026-03-14,sabado,5,madrugada,estacionamento,frotista,utilitario_eletrico,89.52,58.91,100.0,41.09,36.78,39.59,56,24.06,5,2.05,75.4,5.0,80.4
S137,2026-01-10,sabado,11,manha,centro_empresarial,mensalista,van_eletrica,105.79,24.47,54.78,30.31,32.06,35.48,54,51.4,7,2.35,75.34,5.5,80.84
S138,2026-01-26,segunda,5,madrugada,centro_empresarial,frotista,sedan_eletrico,54.19,10.38,43.83,33.45,18.13,40.34,27,25.98,5,2.15,38.98,5.5,44.48
S139,2026-01-22,quinta,3,madrugada,centro_empresarial,motorista_app,van_eletrica,95.6,59.93,87.63,27.7,26.48,25.54,62,15.57,0,2.15,56.93,5.5,62.43
S140,2026-02-06,sexta,14,tarde,eletroposto_comercial,frotista,sedan_eletrico,51.74,16.9,68.53,51.63,26.71,28.22,57,75.39,35,2.8,74.79,7.0,81.79
S141,2026-01-21,quarta,15,tarde,estacionamento,visitante,van_eletrica,87.05,31.17,73.26,42.09,36.64,33.52,66,72.45,14,2.35,86.1,5.0,91.1
S142,2026-03-13,sexta,15,tarde,shopping,frotista,compacto_eletrico,42.75,14.76,63.87,49.11,20.99,44.46,28,65.73,15,2.5,52.47,6.0,58.47
S143,2026-01-27,terca,11,manha,shopping,mensalista,sedan_eletrico,66.81,27.67,79.17,51.5,34.41,41.14,50,65.85,5,2.4,82.58,6.0,88.58
S144,2026-03-26,quinta,9,manha,supermercado,funcionario,sedan_eletrico,70.03,34.56,90.28,55.72,39.02,25.31,93,60.16,13,2.15,83.89,4.0,87.89
S145,2026-03-24,terca,2,madrugada,supermercado,visitante,sedan_eletrico,51.69,12.64,32.66,20.02,10.35,32.04,19,24.37,3,1.95,20.18,4.0,24.18
S146,2026-01-09,sexta,0,madrugada,supermercado,motorista_app,van_eletrica,86.72,17.34,71.77,54.43,47.2,40.93,69,18.47,4,1.95,92.04,4.0,96.04
S147,2026-02-10,terca,19,noite,shopping,visitante,suv_eletrico,92.13,22.87,72.96,50.09,46.15,33.6,82,91.76,23,2.55,117.68,6.0,123.68
S148,2026-03-06,sexta,11,manha,supermercado,funcionario,suv_eletrico,76.25,47.57,72.33,24.76,18.88,23.98,47,32.05,1,2.15,40.59,4.0,44.59
S149,2026-01-15,quinta,4,madrugada,shopping,frotista,compacto_eletrico,49.86,16.86,63.0,46.14,23.01,32.32,43,22.82,2,2.2,50.62,6.0,56.62
S150,2026-01-17,sabado,21,noite,eletroposto_comercial,frotista,utilitario_eletrico,66.73,21.04,67.28,46.24,30.86,28.65,65,78.06,33,2.85,87.95,7.0,94.95
S151,2026-01-01,quinta,13,tarde,centro_empresarial,mensalista,sedan_eletrico,67.76,11.33,33.31,21.98,14.89,35.84,25,74.45,14,2.45,36.48,5.5,41.98
S152,2026-02-25,quarta,6,manha,supermercado,mensalista,sedan_eletrico,70.67,38.06,73.47,35.41,25.02,28.23,53,45.88,4,2.15,53.79,4.0,57.79
S153,2026-01-15,quinta,7,manha,estacionamento,mensalista,van_eletrica,82.64,10.05,38.54,28.49,23.54,42.57,33,50.85,12,2.25,52.96,5.0,57.96
S154,2026-03-12,quinta,4,madrugada,eletroposto_comercial,frotista,compacto_eletrico,42.14,56.78,79.16,22.38,9.43,26.95,21,14.64,2,2.5,23.57,7.0,30.57
S155,2026-02-11,quarta,4,madrugada,supermercado,motorista_app,compacto_eletrico,36.49,20.35,57.26,36.91,13.47,26.05,31,8.37,1,1.95,26.27,4.0,30.27
